ACC1X,ACC1Y,ACC1Z,GYR1X,GYR1Y,GYR1Z
0.09423828,-0.04003906,0.99316406,-0.54931641,-0.42724609,-0.73242188
0.09375,-0.04150391,0.99560547,-0.36621094,-0.61035156,-0.91552734
0.08935547,-0.03857422,0.99609375,0.24414062,-0.85449219,-0.91552734
0.08691406,-0.04248047,0.99365234,0.42724609,-0.91552734,-0.36621094
0.10302734,-0.04003906,0.99121094,0.06103516,-0.79345703,-0.42724609
0.09375,-0.03710938,0.99023438,0.06103516,-0.79345703,-0.9765625
0.08837891,-0.04541016,0.99316406,0.24414062,-0.91552734,-0.85449219
0.09179688,-0.04101562,0.99414062,0.54931641,-0.9765625,-0.48828125
0.10351562,-0.04003906,0.99169922,0.61035156,-0.9765625,-0.61035156
0.09960938,-0.03955078,0.99169922,0.18310547,-0.85449219,-1.34277344
0.09960938,-0.04052734,0.9921875,0.06103516,-0.61035156,-1.953125
0.09179688,-0.0390625,0.99316406,0.06103516,-0.54931641,-2.07519531
0.09033203,-0.04296875,0.99560547,0.12207031,-0.61035156,-1.70898438
0.09423828,-0.04101562,0.99511719,0,-0.61035156,-1.52587891
0.11181641,-0.05224609,0.99853516,0.18310547,-0.79345703,-1.58691406
0.26513672,-0.11328125,0.99169922,-1.40380859,-0.91552734,-3.60107422
0.11767578,-0.03369141,0.98193359,-1.953125,-0.85449219,-5.61523438
-0.04785156,0.03417969,0.98925781,-1.09863281,-0.79345703,-2.07519531
0.00634766,-0.03369141,1.02294922,-2.86865234,0.18310547,-1.03759766
0.09619141,-0.05371094,0.97705078,0.30517578,-0.9765625,-0.73242188
0.08349609,-0.03613281,0.99658203,2.62451172,-1.52587891,-0.61035156
0.0859375,-0.04492188,0.99804688,0.67138672,-0.9765625,-0.85449219
0.0859375,-0.0390625,0.98925781,-0.18310547,-0.79345703,-0.18310547
0.08935547,-0.04296875,0.99462891,-0.42724609,-0.48828125,0.12207031
0.08935547,-0.04345703,0.9921875,-0.9765625,-0.36621094,0.12207031
0.08935547,-0.04150391,0.99267578,-1.28173828,-0.18310547,0
0.08691406,-0.04003906,0.99462891,-2.01416016,0,-0.18310547
0.09179688,-0.04296875,0.99267578,-2.38037109,0.18310547,-0.30517578
0.08837891,-0.04101562,0.99365234,-2.44140625,0.24414062,0
